exp-id,피쳐명,설명,used_in_ml,원천 데이터,계산 방식,데이터 타입,단위 (보류),time window,결측 처리,이상치 처리,누수 위험,품질 기준,사용 여부,비고,담당파트
,Timestamp,거래시각,False,원본 컬럼,,,,,,,,,,,
,From Bank,송금은행,False,원본 컬럼,,,,,,,,,,,
,Account,송금계좌,False,원본 컬럼,,,,,,,,,,,
,To Bank,수취은행,False,원본 컬럼,,,,,,,,,,,
,Account.1,수취계좌 ,False,원본 컬럼,,,,,,,,,,,
,Amount Received,수취금액,False,원본 컬럼,,,,,,,,,,,
,Receiving Currency,수취동화 ,False,원본 컬럼,,,,,,,,,,,
,Amount Paid,송금금액,False,원본 컬럼,,,,,,,,,,,
,Payment Currency,송금통화,False,원본 컬럼,,,,,,,,,,,
,Payment Format,결제방식,False,원본 컬럼,,,,,,,,,,,
,Is Laundering,원본라벨 ,False,원본 컬럼,,,,,,,,,,,
,tx_id,거래 row 식별용 ID,False,전처리 생성,,,,,,,,,,,
,timestamp,원본 Timestamp를 파싱/표준화한 시각 컬럼,False,전처리 생성,,,,,,,,,,,
,split,train/val/test 분할 컬럼,False,전처리 생성,,,,,,,,,,,
,label,원본 Is Laundering을 모델용 label로 표준화,False,전처리 생성,,,,,,,,,,,
,sender_account,원본 송금 계좌 컬럼을 표준화,False,전처리 생성,,,,,,,,,,,
,receiver_account,원본 수취 계좌 컬럼을 표준화,False,전처리 생성,,,,,,,,,,,
,cat__from_bank__code,송금 은행 코드값. 보존만 하고 학습에는 미사용,False,전처리 생성,,,,,,,,,,,
,cat__to_bank__code,수취 은행 코드값. 보존만 하고 학습에는 미사용,False,전처리 생성,,,,,,,,,,,
,cat__payment_currency__code,송금 통화 코드값. 보존만 하고 학습에는 미사용,False,전처리 생성,,,,,,,,,,,
,cat__receiving_currency__code,수취 통화 코드값. 보존만 하고 학습에는 미사용,False,전처리 생성,,,,,,,,,,,
,cat__payment_format__code,결제 방식 코드값. 보존만 하고 학습에는 미사용,False,전처리 생성,,,,,,,,,,,
,cat__currency_pair__code,송금-수취 통화쌍 코드값. cat__currency_pair__xgb_cat 생성 source로 사용,False,전처리 생성,,,,,,,,,,,
,cat__bank_pair__code,송금-수취 은행쌍 코드값. cat__bank_pair__xgb_cat 생성 source로 사용,False,전처리 생성,,,,,,,,,,,
,time__row__hour,거래 시각의 시간대. 원본 보존용이며 실제 학습 제외,False,전처리 생성,,,,,,,,,,,
,time__row__dayofweek,거래 시각의 요일. cat__time_dayofweek__xgb_cat 생성 source로 사용,False,전처리 생성,,,,,,,,,,,
,time__row__is_weekend,주말 여부. cat__time_is_weekend__xgb_cat 생성 source로 사용,False,전처리 생성,,,,,,,,,,,
ml-00,amount__current__value,현재 거래 지급 금액,True,ml_exp00.parquet: amount__current__value,현재 거래 지급 금액을 그대로 사용,numeric,원,현재 거래,원천 컬럼 결측 시 확인 필요,,낮음: 현재 거래 원천 금액 기반. 라벨/미래 정보 미사용,,사용,,ML
ml-00,amount__current__log1p,현재 거래 지급 금액의 log1p 변환값,True,ml_exp00.parquet: amount__current__log1p,현재 거래 지급 금액에 log1p 변환 적용,numeric,log(원+1),현재 거래,원천 금액 결측 또는 음수 여부 확인 필요,,낮음: 현재 거래 원천 금액 기반. 라벨/미래 정보 미사용,,사용,,ML
ml-00,amount_received__current__value,현재 거래 수취 금액,True,ml_exp00.parquet: amount_received__current__value,현재 거래 수취 금액을 그대로 사용,numeric,원,현재 거래,원천 컬럼 결측 시 확인 필요,,낮음: 현재 거래 원천 금액 기반. 라벨/미래 정보 미사용,,사용,,ML
ml-00,amount_received__current__log1p,현재 거래 수취 금액의 log1p 변환값,True,ml_exp00.parquet: amount_received__current__log1p,현재 거래 수취 금액에 log1p 변환 적용,numeric,log(원+1),현재 거래,원천 금액 결측 또는 음수 여부 확인 필요,,낮음: 현재 거래 원천 금액 기반. 라벨/미래 정보 미사용,,사용,,ML
